k; random; random gap; greedy; greedy gap; sequential addition; sequential addition gap; MGM dist; MGM gap; SeqAdd-1-Opt; SeqAdd-1-Opt gap
3118; 1,874; 3,75; 1,128; 2,256; 0,087; 1,322; 0,099; 0,198; 0,097; 0,195
6236; 1,37; 2,796; 0,396; 0,793; 0,038; 1,307; 0,048; 0,097; 0,047; 0,093
9354; 0,95; 2,033; 0,306; 0,611; 0,021; 1,307; 0,03; 0,061; 0,03; 0,06
12472; 0,856; 1,885; 0,306; 0,611; 0,012; 1,166; 0,021; 0,042; 0,021; 0,042
15590; 0,754; 1,758; 0,175; 0,35; 0,007; 1,166; 0,016; 0,032; 0,016; 0,032
18708; 0,619; 1,598; 0,158; 0,317; 0,004; 1,166; 0,012; 0,024; 0,012; 0,024
21826; 0,561; 1,426; 0,158; 0,317; 0,001; 1,166; 0,009; 0,018; 0,009; 0,018
24944; 0,47; 1,445; 0,147; 0,295; 0; 1,166; 0,007; 0,014; 0,007; 0,014
28062; 0,489; 1,429; 0,078; 0,157; 0; 1,166; 0,006; 0,011; 0,006; 0,011
31180; 0,442; 1,3; 0,065; 0,13; 0; 1,166; 0,004; 0,009; 0,004; 0,009
34298; 0,333; 1,236; 0,052; 0,105; 0; 1,166; 0,003; 0,007; 0,003; 0,007
37416; 0,435; 1,23; 0,052; 0,105; 0; 1,166; 0,002; 0,005; 0,002; 0,005
40534; 0,348; 1,107; 0,038; 0,076; 0; 1,166; 0,002; 0,003; 0,002; 0,003
43652; 0,245; 0,867; 0,011; 0,022; 0; 1,166; 0,001; 0,002; 0,001; 0,002
46770; 0; 0,027; 0; 0; 0; 1,166; 0; 0; 0; 0
